"Naam";"ISIN";"Symbol";"Market";"Trading Currency";"Open";"Hoog";"Laag";"Last";"Last Date/Time";"Time Zone";"Volume";"Turnover"
"European Equities";"";;;;;;;;;;;
"11 Mar 2017";;;;;;;;;;;;
"All datapoints provided as of end of last active trading day.";;;;;;;;;;;;
"1000MERCIS";"FR0010285965";"ALMIL";"Alternext Paris";"EUR";"43,51";"43,51";"43,50";"43,50";"10/03/2017 14:18";"CET";"12";"522,01"
"4ENERGY INVEST";"BE0974275076";"ENINV";"Euronext Brussels";"EUR";"3,24";"3,24";"3,24";"3,24";"10/03/2017 16:30";"CET";"23";"74,52"
"4SERVICE CLOUD";"CH0299791381";"MLOVE";"Marché Libre Paris";"EUR";"0,29";"0,29";"0,29";"0,29";"28/02/2017 15:00";"CET";"999";"289,71"
"A TOUTE VITESSE";"FR0010050773";"MLATV";"Marché Libre Paris";"EUR";"6,27";"6,27";"6,27";"6,27";"01/03/2017 15:00";"CET";"286";"1793,22"
"A.S.T. GROUPE";"FR0000076887";"ASP";"Euronext Paris";"EUR";"5,62";"5,62";"5,53";"5,61";"10/03/2017 16:18";"CET";"3732";"20793,56"
"A2MICILE EUROPE";"FR0010795476";"ALA2M";"Alternext Paris";"EUR";"26,89";"26,90";"26,89";"26,90";"10/03/2017 15:48";"CET";"277";"7449,78"
"AALBERTS INDUSTR";"NL0000852564";"AALB";"Euronext Amsterdam";"EUR";"35,10";"35,255";"34,94";"35,125";"10/03/2017 17:35";"CET";"316412";"11113373,25"
"AAREAL BKCAP FD TR";"XS0138973010";"DEPCF";"Euronext Amsterdam";"EUR";"25,35";"25,38";"25,32";"25,33";"10/03/2017 17:24";"CET";"10530";"266802,50"
"AB INBEV";"BE0974293251";"ABI";"Euronext Brussels";"EUR";"101,50";"101,50";"100,30";"100,70";"10/03/2017 17:35";"CET";"1569677";"158358302,75"
"AB SCIENCE";"FR0010557264";"AB";"Euronext Paris";"EUR";"15,30";"15,55";"15,20";"15,47";"10/03/2017 17:35";"CET";"90316";"1394032,98"
"ABBVIE";"US00287Y1091";"ABBV";"Euronext Paris";"EUR";"60,82";"60,82";"59,10";"59,10";"03/03/2017 11:51";"CET";"2";"119,92"
"ABC ARBITRAGE";"FR0004040608";"ABCA";"Euronext Paris";"EUR";"6,76";"6,82";"6,73";"6,80";"10/03/2017 17:35";"CET";"47857";"324270,59"
"ABC ORTHODONTICS";"CH0044947239";"MLABC";"Marché Libre Paris";"EUR";"0,29";"0,29";"0,29";"0,29";"04/04/2016 15:00";"CET";"1";"0,29"
"ABEO";"FR0013185857";"ABEO";"Euronext Paris";"EUR";"26,51";"26,52";"26,51";"26,52";"10/03/2017 11:41";"CET";"67";"1776,41"
"ABIVAX";"FR0012333284";"ABVX";"Euronext Paris";"EUR";"5,64";"5,69";"5,63";"5,65";"10/03/2017 17:18";"CET";"3432";"19370,71"
"ABLYNX";"BE0003877942";"ABLX";"Euronext Brussels";"EUR";"11,56";"11,765";"11,49";"11,66";"10/03/2017 17:35";"CET";"215617";"2511624,47"
"ABN AMRO Group";"NL0011540547";"ABN";"Euronext Amsterdam";"EUR";"23,70";"24,10";"23,635";"23,775";"10/03/2017 17:35";"CET";"2370295";"56538527,87"
"ABO GROUP";"BE0974278104";"ABO";"Euronext Brussels";"EUR";"2,65";"2,65";"2,65";"2,65";"10/03/2017 16:30";"CET";"989";"2620,85"
"ACANTHE DEV.";"FR0000064602";"ACAN";"Euronext Paris";"EUR";"0,60";"0,62";"0,60";"0,62";"10/03/2017 16:31";"CET";"12921";"7826,46"
"ACCELL GROUP";"NL0009767532";"ACCEL";"Euronext Amsterdam";"EUR";"22,725";"23,675";"22,725";"23,365";"10/03/2017 17:37";"CET";"115637";"2689462,74"
"ACCENTIS";"BE0003696102";"ACCB";"Euronext Brussels";"EUR";"0,039";"0,0394";"0,039";"0,0391";"10/03/2017 16:17";"CET";"247340";"9683,019"
"ACCES INDUSTRIE";"FR0010567032";"ALACI";"Alternext Paris";"EUR";"4,09";"4,09";"4,09";"4,09";"10/03/2017 15:30";"CET";"2000";"8180,00"
"ACCOR";"FR0000120404";"AC";"Euronext Paris";"EUR";"38,12";"38,37";"38,065";"38,10";"10/03/2017 17:35";"CET";"979516";"37418171,505"
"ACCOR NV";"FR0013227527";"ACNV";"Euronext Paris";"EUR";"-";"-";"-";"-";"-";"-";"-";"-"
"ACCSYS";"GB00BQQFX454";"AXS";"Euronext Amsterdam";"EUR";"0,70";"0,71";"0,69";"0,69";"10/03/2017 17:35";"CET";"66627";"46590,92"
"ACEP FRANCE";"FR0010762740";"MLACP";"Marché Libre Paris";"EUR";"1,95";"1,95";"1,95";"1,95";"01/03/2017 15:00";"CET";"576";"1123,20"
"ACHETER-LOUER.FR";"FR0010493510";"ALALO";"Alternext Paris";"EUR";"0,04";"0,04";"0,04";"0,04";"10/03/2017 14:42";"CET";"30350";"1214,00"
"ACKERMANS V.HAAREN";"BE0003764785";"ACKB";"Euronext Brussels";"EUR";"144,65";"146,60";"144,60";"145,10";"10/03/2017 17:35";"CET";"73927";"10746100,65"
"ACTEOS";"FR0000076861";"EOS";"Euronext Paris";"EUR";"1,73";"1,80";"1,63";"1,71";"10/03/2017 16:12";"CET";"35472";"62180,50"
"ACTIA GROUP";"FR0000076655";"ATI";"Euronext Paris";"EUR";"8,67";"8,88";"8,67";"8,83";"10/03/2017 17:35";"CET";"40080";"351467,57"
"ACTIVIUM GROUP";"FR0010979377";"MLACT";"Marché Libre Paris";"EUR";"1,12";"1,12";"1,12";"1,12";"10/03/2017 15:00";"CET";"48";"53,76"
"ADA";"FR0000053076";"ALADA";"Alternext Paris";"EUR";"9,37";"9,40";"9,37";"9,40";"10/03/2017 17:20";"CET";"101";"949,37"
"ADC SIIC";"BE0974269012";"ALDV";"Euronext Paris";"EUR";"0,11";"0,11";"0,11";"0,11";"09/03/2017 16:30";"CET";"353";"38,83"
